nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
11059,A,Gatineau,T-U-X-Z,-73.622929843742412000,45.497569399264790000,Régulier Payez-Partez
11061,A,Gatineau,T-U-X-Z,-73.621168833592762000,45.496941465380267000,Régulier Payez-Partez
11062,A,Gatineau,T-U-X-Z,-73.619647431522225000,45.496123422223079000,Régulier Payez-Partez
11067,A,Decelles,T-U-X-Z,-73.616564155386399000,45.496046832418394000,Régulier Payez-Partez
11068,A,Decelles,T-U-X-Z,-73.616272309413830000,45.496093894755120000,Régulier Payez-Partez
11069,A,Côte-Sainte-Catherine,T-U-X-Z,-73.630771807418398000,45.495140158545162000,Régulier Payez-Partez
11070,A,Côte-Sainte-Catherine,T-U-X-Z,-73.630043544844042000,45.495953166116031000,Régulier Payez-Partez
11071,A,Côte-Sainte-Catherine,T-U-X-Z,-73.629062480730994000,45.497039683063086000,Régulier Payez-Partez
11073,A,Côte-Sainte-Catherine,T-U-X-Z,-73.629122783281431000,45.496626432106034000,Régulier Payez-Partez
11074,A,Côte-Sainte-Catherine,T-U-X-Z,-73.628301073806938000,45.497536731466042000,Régulier Payez-Partez
11076,A,Côte-Sainte-Catherine,T-U-X-Z,-73.623366037829129000,45.503323882379910000,Régulier Payez-Partez
11079,A,Côte-Sainte-Catherine,T-U-X-Z,-73.623257915435147000,45.503151045694551000,Régulier Payez-Partez
11080,A,Côte-Sainte-Catherine,T-U-X-Z,-73.621760130670751000,45.504803341184527000,Régulier Payez-Partez
11081,A,Victoria,T-U-X-Z,-73.640213147456990000,45.495427371866811000,Régulier Payez-Partez
11082,A,Victoria,T-U-X-Z,-73.640065621205593000,45.495552048781711000,Régulier Payez-Partez
11083,A,Victoria,T-U-X-Z,-73.639298595133639000,45.495016810123495000,Régulier Payez-Partez
11084,A,Victoria,T-U-X-Z,-73.639015923215965000,45.495074071524151000,Régulier Payez-Partez
11086,A,Victoria,T-U-X-Z,-73.638314422037652000,45.494762703885471000,Régulier Payez-Partez
11087,A,Victoria,T-U-X-Z,-73.636881944162170000,45.493938048210367000,Régulier Payez-Partez
11089,A,Victoria,T-U-X-Z,-73.636473631662199000,45.493955548582925000,Régulier Payez-Partez
11091,A,Victoria,T-U-X-Z,-73.635130653638939000,45.493339442384041000,Régulier Payez-Partez
11092,A,Victoria,T-U-X-Z,-73.634150163142365000,45.492716701258146000,Régulier Payez-Partez
11093,A,Victoria,T-U-X-Z,-73.634006328073639000,45.492836534618526000,Régulier Payez-Partez
11094,A,Van Horne,T-U-X-Z,-73.637224134052786000,45.494983285980091000,Régulier Payez-Partez
11095,A,Van Horne,T-U-X-Z,-73.636530772772531000,45.495760183731811000,Régulier Payez-Partez
11096,A,Van Horne,T-U-X-Z,-73.637106671844123000,45.494781124686718000,Régulier Payez-Partez
11097,A,Van Horne,T-U-X-Z,-73.636331875717076000,45.495645378119342000,Régulier Payez-Partez
11098,A,Décarie(Blvd),T-U-X-Z,-73.632737406528250000,45.485534885416932000,Régulier Payez-Partez
